Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22200,"Count Zero (Sprawl, #2)",William Gibson,"Gibson, William",,"=""0441013678""","=""9780441013678""",3,4.00,Ace Books,Paperback,308,2006,1986,,2014/03/08,,,read,,,,,,,0,,,,,
20329634,"Lines of Departure (Frontlines, #2)",Marko Kloos,"Kloos, Marko",,"=""""","=""""",2,4.07,47North,Kindle Edition,329,2014,2014,,2014/02/28,,,read,,,,,,,0,,,,,
20729022,The King in Yellow,Robert W. Chambers,"Chambers, Robert W.",,"=""1495309452""","=""9781495309458""",3,3.57,Createspace,Paperback,160,2014,1895,,2014/02/23,,,read,,,,,,,0,,,,,
795034,"To Green Angel Tower, Part 1 (Memory, Sorrow, and Thorn, #3; Part 1)",Tad Williams,"Williams, Tad",,"=""0886775981""","=""9780886775988""",3,4.18,DAW Fantasy,Mass Market Paperback,815,1994,1993,,2014/02/19,,,read,,,,,,,0,,,,,
28689,"Stone of Farewell (Memory, Sorrow, and Thorn, #2)",Tad Williams,"Williams, Tad",,"=""0756402972""","=""9780756402976""",3,4.09,DAW,Paperback,608,2005,1990,,2014/02/19,,,read,,,,,,,0,,,,,
35982,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,"Handler, Chelsea",,"=""1582346186""","=""9781582346182""",2,3.78,Bloomsbury USA,Paperback,213,2005,2004,,2014/02/09,,,read,,,,,,,0,,,,,
6255949,All You Need Is Kill,Hiroshi Sakurazaka,"Sakurazaka, Hiroshi","桜坂洋, Alexander O. Smith, Joseph Reeder","=""1421527618""","=""9781421527611""",2,4.05,Haikasoru,Paperback,200,2009,2004,,2014/02/09,,,read,,,,,,,0,,,,,
91981,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,"Williams, Tad",,"=""0756402697""","=""9780756402693""",4,3.94,DAW,Paperback,672,2005,1988,,2014/02/09,,,read,,,,,,,0,,,,,
74274,"Hidden Warrior (The Tamír Triad, #2)",Lynn Flewelling,"Flewelling, Lynn",,"=""0007113102""","=""9780007113101""",3,4.11,HarperCollins Publishers,Paperback,576,2008,2003,,2014/02/09,,,read,,,,,,,0,,,,,
74271,"The Oracle's Queen (The Tamír Triad, #3)",Lynn Flewelling,"Flewelling, Lynn",,"=""055358345X""","=""9780553583458""",2,4.16,Spectra,Mass Market Paperback,557,2006,2006,,2014/02/09,,,read,,,,,,,0,,,,,
17726421,"The Deaths of Tao (Tao, #2)",Wesley Chu,"Chu, Wesley",,"=""0857663321""","=""9780857663320""",2,3.92,Angry Robot Books,Mass Market Paperback,462,2013,2013,,2014/01/17,,,read,,,,,,,0,,,,,
4712458,Vlad: The Last Confession,C.C. Humphreys,"Humphreys, C.C.",,"=""1552787311""","=""9781552787311""",1,3.83,McArthur Publishing,Paperback,366,2008,2008,,2014/01/17,,,read,,,,,,,0,,,,,
17619479,Terms of Enlistment,Marko Kloos,"Kloos, Marko",,"=""""","=""""",3,3.96,Frostbite Publishing,Kindle Edition,282,2013,2013,,2013/12/09,,,read,,,,,,,0,,,,,
15981711,"The Lives of Tao (Tao, #1)",Wesley Chu,"Chu, Wesley",,"=""0857663291""","=""9780857663290""",3,3.76,Angry Robot,Mass Market Paperback,460,2013,2013,,2013/12/09,,,read,,,,,,,0,,,,,
37847,The Long Hard Road Out of Hell,Marilyn Manson,"Manson, Marilyn",Neil Strauss,"=""0060987464""","=""9780060987466""",3,3.88,It Books,Paperback,275,1999,1998,,2013/11/26,,,read,,,,,,,0,,,,,
13409474,On Little Wings,Regina Sirois,"Sirois, Regina",,"=""1468096478""","=""9781468096477""",0,3.92,Viking,Paperback,361,2012,2011,,2013/11/25,to-read,to-read (#13),to-read,,,,,,,0,,,,,
40496,How Green Was My Valley,Richard Llewellyn,"Llewellyn, Richard",,"=""0141185856""","=""9780141185859""",5,4.16,Penguin Classics,Paperback,448,2001,1939,,2013/11/22,,,read,,,,,,,0,,,,,
16000349,The Beautiful Thing That Awaits Us All: Stories,Laird Barron,"Barron, Laird",,"=""1597804673""","=""9781597804677""",3,4.04,Night Shade Books,Hardcover,280,2013,2013,,2013/11/19,,,read,,,,,,,0,,,,,
7743784,Classical Chinese Poetry: An Anthology,David Hinton,"Hinton, David",,"=""0374531900""","=""9780374531904""",0,4.54,"Farrar, Straus and Giroux",Paperback,512,2010,2010,,2013/11/13,to-read,to-read (#12),to-read,,,,,,,0,,,,,
128436,Love Poems from God: Twelve Sacred Voices from the East and West,Daniel Ladinsky,"Ladinsky, Daniel",,"=""0142196126""","=""9780142196120""",0,4.55,Penguin Books,Paperback,400,2002,2002,,2013/11/13,to-read,to-read (#11),to-read,,,,,,,0,,,,,
45974,The Book of Disquiet,Fernando Pessoa,"Pessoa, Fernando",Richard Zenith,"=""0141183047""","=""9780141183046""",3,4.50,Penguin Classics,Paperback,544,2002,1982,,2013/11/13,,,read,,,,,,,0,,,,,
139254,"Empress Orchid (Empress Orchid, #1)",Anchee Min,"Min, Anchee",,"=""0618562036""","=""9780618562039""",0,3.87,Mariner Books,Paperback,368,2005,2003,,2013/11/10,to-read,to-read (#10),to-read,,,,,,,0,,,,,
2761171,Company of Liars,Karen Maitland,"Maitland, Karen",,"=""0718153227""","=""9780718153229""",2,3.80,Michael Joseph,Hardcover,576,2008,2008,,2013/11/09,,,read,,,,,,,0,,,,,
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",5,4.11,St. Martin's Press,Hardcover,328,2013,2013,,2013/11/08,,,read,,,,,,,0,,,,,
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon","=""0575070536""","=""9780575070530""",4,4.21,Gollancz,Paperback,145,2000,1972,,2013/11/06,,,read,,,,,,,0,,,,,
10357575,1Q84,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",4,3.88,Knopf,Hardcover,925,2011,2009,,2013/10/25,,,read,,,,,,,0,,,,,
10836728,"The Rook (The Checquy Files, #1)",Daniel O'Malley,"O'Malley, Daniel",,"=""0316098795""","=""9780316098793""",3,4.12,"Little, Brown and Company",Hardcover,496,2012,2012,,2013/10/18,,,read,,,,,,,0,,,,,
